data,day_of_week,n1,n2,n3,n4,n5,n6,star
2021-12-11,Saturday,7,17,45,64,76,81,42
2021-12-09,Thursday,10,48,70,75,79,83,82
2021-12-07,Tuesday,9,12,23,38,59,88,76
2021-12-04,Saturday,37,43,68,72,76,85,27
2021-12-02,Thursday,15,24,48,60,70,89,34
2021-11-30,Tuesday,11,34,44,64,75,82,48
2021-11-27,Saturday,24,30,38,47,48,78,8
2021-11-25,Thursday,6,45,61,82,84,88,16
2021-11-23,Tuesday,6,17,23,24,43,72,81
2021-11-20,Saturday,7,48,58,60,86,87,55
2021-11-18,Thursday,22,24,38,42,44,87,67
2021-11-16,Tuesday,7,17,19,38,66,71,90
2021-11-13,Saturday,13,40,60,66,73,75,23
2021-11-11,Thursday,4,23,52,65,79,88,37
2021-11-09,Tuesday,3,6,14,17,54,60,83
2021-11-06,Saturday,6,21,56,63,81,85,51
2021-11-04,Thursday,22,25,38,41,61,68,24
2021-11-02,Tuesday,22,27,51,55,77,86,33
2021-10-30,Saturday,20,31,41,43,48,79,26
2021-10-28,Thursday,2,25,34,67,73,77,36
2021-10-26,Tuesday,20,24,25,49,57,68,16
2021-10-23,Saturday,1,11,12,15,20,83,46
2021-10-21,Thursday,9,10,26,27,77,86,16
2021-10-19,Tuesday,21,28,38,42,66,88,60
2021-10-16,Saturday,32,41,50,57,67,89,13
2021-10-14,Thursday,8,14,25,59,60,88,27
2021-10-12,Tuesday,46,53,55,60,64,90,77
2021-10-09,Saturday,7,9,70,72,77,86,53
2021-10-07,Thursday,15,18,22,26,66,77,67
2021-10-05,Tuesday,21,40,62,66,73,85,58
2021-10-02,Saturday,9,19,40,62,67,71,52
2021-09-30,Thursday,7,32,33,36,45,47,43
2021-09-28,Tuesday,14,18,19,33,34,80,48
2021-09-25,Saturday,11,19,61,62,75,76,43
2021-09-23,Thursday,8,21,38,42,49,51,2
2021-09-21,Tuesday,5,6,29,59,68,74,54
2021-09-18,Saturday,22,56,60,73,76,80,81
2021-09-16,Thursday,12,16,40,46,47,83,57
2021-09-14,Tuesday,3,14,42,52,69,81,63
2021-09-11,Saturday,1,30,36,49,75,85,33
2021-09-09,Thursday,6,58,64,73,76,86,59
2021-09-07,Tuesday,7,20,21,31,67,89,63
2021-09-04,Saturday,7,60,68,71,79,80,53
2021-09-02,Thursday,5,15,39,72,76,80,12
2021-08-31,Tuesday,3,5,10,44,76,77,19
2021-08-28,Saturday,44,54,56,63,76,77,61
2021-08-26,Thursday,17,21,32,40,55,76,89
2021-08-24,Tuesday,12,27,43,48,63,66,18
2021-08-21,Saturday,8,19,35,59,86,90,33
2021-08-19,Thursday,3,4,31,80,81,87,53
2021-08-17,Tuesday,2,3,10,38,64,70,69
2021-08-14,Saturday,53,64,72,74,87,89,39
2021-08-12,Thursday,17,55,59,61,62,90,21
2021-08-10,Tuesday,14,16,47,49,53,56,22
2021-08-07,Saturday,1,7,34,37,45,49,57
2021-08-05,Thursday,28,37,41,44,52,84,86
2021-08-03,Tuesday,14,55,65,68,78,88,36
2021-07-31,Saturday,14,22,36,47,59,61,35
2021-07-29,Thursday,3,14,21,31,84,89,45
2021-07-27,Tuesday,1,6,24,36,82,83,58
2021-07-24,Saturday,21,25,40,50,71,87,22
2021-07-22,Thursday,1,6,10,61,63,64,15
2021-07-20,Tuesday,28,34,49,65,79,90,1
2021-07-17,Saturday,6,37,64,71,85,87,16
2021-07-15,Thursday,2,25,37,54,57,87,80
2021-07-13,Tuesday,58,68,70,74,76,89,3
2021-07-10,Saturday,8,13,16,27,32,62,4
2021-07-08,Thursday,21,24,25,61,73,74,58
2021-07-06,Tuesday,11,15,20,40,69,73,65
2021-07-03,Saturday,42,45,52,65,70,85,67
2021-07-01,Thursday,8,11,44,86,88,89,31
2021-06-29,Tuesday,10,30,52,53,66,87,77
2021-06-26,Saturday,28,39,44,57,61,88,43
2021-06-24,Thursday,40,43,56,59,63,88,25
2021-06-22,Tuesday,30,51,56,59,65,68,83
2021-06-19,Saturday,1,3,41,55,84,85,47
2021-06-17,Thursday,20,33,39,42,43,78,40
2021-06-15,Tuesday,10,14,25,43,54,65,11
2021-06-12,Saturday,2,9,27,54,69,78,16
2021-06-10,Thursday,27,37,42,44,76,83,50
2021-06-08,Tuesday,2,9,11,72,76,86,67
2021-06-05,Saturday,53,73,75,83,84,85,27
2021-06-03,Thursday,17,27,40,72,86,87,48
2021-06-01,Tuesday,9,21,27,41,45,53,66
2021-05-29,Saturday,23,31,62,71,74,77,8
2021-05-27,Thursday,24,38,81,86,88,89,54
2021-05-25,Tuesday,5,39,45,49,59,71,4
2021-05-22,Saturday,1,7,37,43,63,81,34
2021-05-20,Thursday,27,31,36,39,46,67,19
2021-05-18,Tuesday,10,11,15,19,47,78,68
2021-05-15,Saturday,15,36,49,59,60,62,77
2021-05-13,Thursday,4,13,20,51,69,82,9
2021-05-11,Tuesday,23,30,50,59,60,83,16
2021-05-08,Saturday,37,38,44,45,60,65,66
2021-05-06,Thursday,5,28,38,55,79,89,31
2021-05-04,Tuesday,6,43,48,60,75,85,1
2021-05-03,Monday,15,18,40,43,57,72,39
2021-04-29,Thursday,14,62,64,66,76,87,79
2021-04-27,Tuesday,41,49,56,58,60,68,59
2021-04-24,Saturday,10,20,21,29,34,44,58
2021-04-22,Thursday,8,11,46,47,72,81,68
2021-04-20,Tuesday,1,32,48,58,68,75,59
2021-04-17,Saturday,7,20,63,68,74,88,13
2021-04-15,Thursday,12,33,44,71,72,80,69
2021-04-13,Tuesday,1,36,48,63,68,87,23
2021-04-10,Saturday,9,27,67,80,87,89,65
2021-04-08,Thursday,19,29,35,49,66,81,61
2021-04-06,Tuesday,7,27,73,77,78,89,26
2021-04-03,Saturday,1,39,53,60,75,76,36
2021-04-01,Thursday,22,37,57,62,83,90,3
2021-03-30,Tuesday,10,25,41,58,78,87,73
2021-03-27,Saturday,16,19,41,72,78,82,70
2021-03-25,Thursday,15,28,30,52,75,86,37
2021-03-23,Tuesday,2,11,13,45,66,72,25
2021-03-20,Saturday,6,10,57,71,74,83,39
2021-03-18,Thursday,11,38,51,58,62,63,47
2021-03-16,Tuesday,28,43,48,65,84,89,9
2021-03-13,Saturday,28,29,43,59,70,79,52
2021-03-11,Thursday,9,31,51,68,84,90,33
2021-03-09,Tuesday,8,15,20,52,54,72,81
2021-03-06,Saturday,4,36,43,61,72,89,22
2021-03-04,Thursday,2,4,13,45,51,77,5
2021-03-02,Tuesday,3,32,39,56,77,89,90
2021-02-27,Saturday,10,37,42,69,72,86,85
2021-02-25,Thursday,13,26,42,71,72,73,62
2021-02-23,Tuesday,7,37,42,57,59,87,15
2021-02-20,Saturday,3,18,25,31,65,75,29
2021-02-18,Thursday,28,52,56,62,66,72,58
2021-02-16,Tuesday,9,19,30,52,61,76,54
2021-02-13,Saturday,36,39,46,58,63,77,57
2021-02-11,Thursday,5,34,47,60,69,70,64
2021-02-09,Tuesday,7,8,19,33,40,48,54
2021-02-06,Saturday,36,49,50,61,66,76,82
2021-02-04,Thursday,5,19,27,35,40,82,66
2021-02-02,Tuesday,28,41,54,67,78,86,29
2021-01-30,Saturday,27,35,42,48,56,65,44
2021-01-28,Thursday,18,29,40,44,46,53,67
2021-01-26,Tuesday,34,39,45,51,60,89,18
2021-01-23,Saturday,3,19,27,35,63,89,29
2021-01-21,Thursday,15,17,38,40,45,65,84
2021-01-19,Tuesday,2,27,28,38,43,65,60
2021-01-16,Saturday,9,26,57,66,81,83,63
2021-01-14,Thursday,24,50,53,54,62,88,61
2021-01-12,Tuesday,5,19,21,33,61,90,43
2021-01-09,Saturday,14,16,35,47,58,64,40
2021-01-07,Thursday,15,33,48,49,56,88,16
2021-01-05,Tuesday,12,19,30,60,71,78,79
2021-01-02,Saturday,35,37,50,75,77,81,5
2020-12-31,Thursday,7,14,20,66,68,79,76
2020-12-29,Tuesday,15,22,38,51,60,74,86
2020-12-28,Monday,8,25,39,54,59,84,85
2020-12-24,Thursday,22,25,31,79,87,90,38
2020-12-22,Tuesday,15,16,22,46,51,72,8
2020-12-19,Saturday,36,39,45,50,62,66,47
2020-12-17,Thursday,5,9,12,14,26,37,55
2020-12-15,Tuesday,10,16,47,51,80,85,4
2020-12-12,Saturday,11,14,18,59,64,85,1
2020-12-10,Thursday,1,6,25,42,75,80,41
2020-12-07,Monday,1,6,20,25,70,90,89
2020-12-05,Saturday,26,32,39,40,57,65,4
2020-12-03,Thursday,22,33,43,48,87,89,17
2020-12-01,Tuesday,21,30,32,62,78,80,36
2020-11-28,Saturday,12,29,61,81,87,90,20
2020-11-26,Thursday,2,9,39,52,67,76,78
2020-11-24,Tuesday,9,15,16,23,57,76,19
2020-11-21,Saturday,6,24,37,55,76,82,20
2020-11-19,Thursday,6,13,47,49,69,86,83
2020-11-17,Tuesday,7,18,20,32,45,55,75
2020-11-14,Saturday,3,30,47,67,68,89,38
2020-11-12,Thursday,13,35,37,58,60,88,57
2020-11-10,Tuesday,13,34,38,41,76,88,18
2020-11-07,Saturday,1,2,61,69,70,82,56
2020-11-05,Thursday,5,10,18,24,69,85,65
2020-11-03,Tuesday,18,39,45,48,53,64,55
2020-10-31,Saturday,22,31,35,40,65,82,36
2020-10-29,Thursday,9,32,41,43,44,84,28
2020-10-27,Tuesday,19,26,49,53,55,77,51
2020-10-24,Saturday,17,19,28,41,49,86,25
2020-10-22,Thursday,1,16,21,36,37,43,27
2020-10-20,Tuesday,24,29,36,43,50,51,69
2020-10-17,Saturday,24,28,34,55,62,87,36
2020-10-15,Thursday,29,38,47,61,68,86,36
2020-10-13,Tuesday,47,56,58,60,79,85,20
2020-10-10,Saturday,12,15,19,24,46,73,67
2020-10-08,Thursday,8,35,51,60,63,75,79
2020-10-06,Tuesday,8,55,67,73,74,89,83
2020-10-03,Saturday,5,17,59,61,70,79,52
2020-10-01,Thursday,7,31,38,52,61,75,51
2020-09-29,Tuesday,25,33,53,76,81,90,75
2020-09-26,Saturday,4,16,38,70,86,88,61
2020-09-24,Thursday,10,13,28,77,86,89,14
2020-09-22,Tuesday,4,15,37,48,55,69,31
2020-09-19,Saturday,6,12,14,27,39,73,87
2020-09-17,Thursday,9,29,35,47,53,85,71
2020-09-15,Tuesday,2,9,44,47,52,54,16
2020-09-12,Saturday,6,15,36,42,67,78,2
2020-09-10,Thursday,46,48,67,78,80,87,23
2020-09-08,Tuesday,23,27,28,31,69,89,24
2020-09-05,Saturday,7,14,27,56,72,83,16
2020-09-03,Thursday,16,17,38,39,68,84,29
2020-09-01,Tuesday,10,22,28,45,48,71,53
2020-08-29,Saturday,1,3,35,42,55,61,25
2020-08-27,Thursday,37,49,52,53,75,87,29
2020-08-25,Tuesday,15,24,31,70,83,84,76
2020-08-22,Saturday,7,12,45,47,73,87,83
2020-08-20,Thursday,7,17,30,39,41,67,32
2020-08-18,Tuesday,13,22,28,58,65,77,6
2020-08-17,Monday,5,9,26,62,77,79,87
2020-08-13,Thursday,4,5,49,57,66,75,36
2020-08-11,Tuesday,7,9,38,68,78,80,26
2020-08-08,Saturday,6,16,22,55,58,83,51
2020-08-06,Thursday,21,37,40,46,69,80,3
2020-08-04,Tuesday,5,19,21,25,45,82,59
2020-08-01,Saturday,4,14,17,18,26,45,6
2020-07-30,Thursday,4,15,19,26,28,55,58
2020-07-28,Tuesday,23,45,49,71,80,82,61
2020-07-25,Saturday,18,30,42,70,78,80,1
2020-07-23,Thursday,10,29,37,49,56,57,24
2020-07-21,Tuesday,4,34,46,54,55,62,10
2020-07-18,Saturday,18,33,49,76,80,84,12
2020-07-16,Thursday,35,39,40,64,67,75,74
2020-07-14,Tuesday,17,35,70,71,74,82,22
2020-07-11,Saturday,6,10,19,20,40,67,75
2020-07-09,Thursday,1,10,26,40,64,88,79
2020-07-07,Tuesday,16,24,29,53,73,88,62
2020-07-04,Saturday,33,38,46,59,65,73,28
2020-07-02,Thursday,12,33,42,56,78,79,88
2020-06-30,Tuesday,6,7,57,61,79,89,63
2020-06-27,Saturday,13,33,35,60,78,81,11
2020-06-25,Thursday,14,35,41,51,84,85,78
2020-06-23,Tuesday,40,44,52,59,66,69,24
2020-06-20,Saturday,16,29,39,55,63,86,84
2020-06-18,Thursday,4,6,15,35,67,73,36
2020-06-16,Tuesday,1,11,39,59,68,74,37
2020-06-13,Saturday,20,42,53,57,62,73,8
2020-06-11,Thursday,1,7,23,47,68,69,79
2020-06-09,Tuesday,8,14,30,58,71,87,70
2020-06-06,Saturday,4,21,37,45,50,79,76
2020-06-04,Thursday,5,16,23,30,40,71,10
2020-06-01,Monday,9,28,49,65,76,81,8
2020-05-30,Saturday,3,27,46,52,70,74,48
2020-05-28,Thursday,16,29,31,73,76,82,26
2020-05-26,Tuesday,10,23,27,46,68,74,66
2020-05-23,Saturday,5,15,61,75,82,86,36
2020-05-21,Thursday,3,21,44,69,73,81,20
2020-05-19,Tuesday,26,41,51,62,66,85,40
2020-05-16,Saturday,2,7,71,78,84,87,80
2020-05-14,Thursday,12,17,20,54,61,80,39
2020-05-12,Tuesday,21,38,55,60,65,85,66
2020-05-09,Saturday,34,45,59,66,70,78,21
2020-05-07,Thursday,22,35,45,52,57,75,15
2020-05-05,Tuesday,39,43,58,73,83,86,35
2020-03-21,Saturday,5,13,38,39,52,59,74
2020-03-19,Thursday,7,11,17,28,29,50,41
2020-03-17,Tuesday,17,29,30,49,63,65,15
2020-03-14,Saturday,1,13,18,47,68,75,46
2020-03-12,Thursday,19,22,41,46,56,86,13
2020-03-10,Tuesday,8,35,41,43,57,80,42
2020-03-07,Saturday,11,13,31,41,85,87,12
2020-03-05,Thursday,13,40,48,67,69,85,65
2020-03-03,Tuesday,5,11,19,26,36,64,1
2020-02-29,Saturday,9,35,44,50,73,78,85
2020-02-27,Thursday,17,51,60,71,75,79,58
2020-02-25,Tuesday,10,15,23,54,73,74,63
2020-02-22,Saturday,1,28,57,58,60,68,50
2020-02-20,Thursday,20,36,55,69,80,85,58
2020-02-18,Tuesday,26,45,58,69,72,82,9
2020-02-15,Saturday,13,26,40,55,65,86,9
2020-02-13,Thursday,4,15,43,69,74,84,49
2020-02-11,Tuesday,16,24,45,68,72,81,20
2020-02-08,Saturday,15,32,54,56,61,85,10
2020-02-06,Thursday,3,20,29,49,65,82,31
2020-02-04,Tuesday,21,29,34,64,72,79,14
2020-02-01,Saturday,22,25,45,46,48,88,24
2020-01-30,Thursday,8,46,53,62,77,84,51
2020-01-28,Tuesday,16,21,33,50,57,89,52
2020-01-25,Saturday,11,16,17,35,68,90,76
2020-01-23,Thursday,15,20,23,69,72,81,87
2020-01-21,Tuesday,6,32,46,53,70,75,62
2020-01-18,Saturday,26,28,32,50,79,87,1
2020-01-16,Thursday,22,29,50,53,72,83,77
2020-01-14,Tuesday,1,6,9,32,68,85,79
2020-01-11,Saturday,34,36,38,63,72,81,18
2020-01-09,Thursday,5,14,54,55,66,78,52
2020-01-07,Tuesday,2,23,60,66,72,78,19
2020-01-04,Saturday,23,30,37,44,57,80,26
2020-01-02,Thursday,5,45,63,64,78,85,4
2019-12-31,Tuesday,3,32,36,43,62,80,13
2019-12-28,Saturday,3,8,16,28,42,65,75
2019-12-24,Tuesday,44,48,55,67,82,90,54
2019-12-23,Monday,17,30,45,56,87,89,18
2019-12-21,Saturday,9,28,36,50,66,90,71
2019-12-19,Thursday,3,14,25,43,74,80,62
2019-12-17,Tuesday,4,8,37,44,86,88,56
2019-12-14,Saturday,8,10,43,52,60,83,84
2019-12-12,Thursday,11,25,39,48,51,71,88
2019-12-10,Tuesday,11,37,40,42,58,82,69
2019-12-07,Saturday,11,21,44,67,77,80,33
2019-12-05,Thursday,16,25,52,59,64,74,37
2019-12-03,Tuesday,4,5,8,22,48,83,47
2019-11-30,Saturday,2,21,47,52,66,77,9
2019-11-28,Thursday,7,16,17,50,52,74,68
2019-11-26,Tuesday,21,22,35,63,76,79,38
2019-11-23,Saturday,12,29,52,61,72,79,57
2019-11-21,Thursday,23,29,35,50,57,60,15
2019-11-19,Tuesday,19,26,56,74,77,82,17
2019-11-16,Saturday,7,29,31,58,65,86,18
2019-11-14,Thursday,33,52,57,72,76,81,77
2019-11-12,Tuesday,14,15,51,55,61,73,4
2019-11-09,Saturday,1,21,43,51,81,88,60
2019-11-07,Thursday,4,9,37,48,49,77,41
2019-11-05,Tuesday,32,56,64,65,87,90,71
2019-11-02,Saturday,10,19,30,68,78,80,31
2019-10-31,Thursday,35,41,53,60,65,80,86
2019-10-29,Tuesday,21,32,47,61,67,68,25
2019-10-26,Saturday,8,12,13,14,51,83,74
2019-10-24,Thursday,18,51,53,57,82,87,1
2019-10-22,Tuesday,9,28,40,77,79,81,4
2019-10-19,Saturday,15,30,75,76,77,79,11
2019-10-17,Thursday,10,29,33,55,65,72,47
2019-10-15,Tuesday,5,38,45,54,59,65,78
2019-10-12,Saturday,5,33,40,45,79,90,78
2019-10-10,Thursday,9,12,29,42,65,75,84
2019-10-08,Tuesday,25,35,47,70,79,87,83
2019-10-05,Saturday,20,38,52,58,68,72,45
2019-10-03,Thursday,4,5,31,35,46,80,77
2019-10-01,Tuesday,11,59,63,73,84,89,62
2019-09-28,Saturday,37,49,66,75,77,82,31
2019-09-26,Thursday,17,20,42,44,83,90,18
2019-09-24,Tuesday,7,45,55,60,81,89,25
2019-09-21,Saturday,31,36,44,47,50,56,17
2019-09-19,Thursday,38,50,53,56,65,76,86
2019-09-17,Tuesday,9,18,26,43,60,79,57
2019-09-14,Saturday,1,7,10,40,52,59,47
2019-09-12,Thursday,12,17,20,62,80,88,26
2019-09-10,Tuesday,15,16,21,49,50,83,20
2019-09-07,Saturday,9,29,43,66,70,84,52
2019-09-05,Thursday,7,26,31,34,52,54,32
2019-09-03,Tuesday,18,29,39,58,59,76,53
2019-08-31,Saturday,31,35,52,59,60,75,51
2019-08-29,Thursday,21,37,45,53,83,84,2
2019-08-27,Tuesday,4,15,34,37,47,73,26
2019-08-24,Saturday,20,36,40,42,63,86,17
2019-08-22,Thursday,1,12,24,42,65,67,39
2019-08-20,Tuesday,20,35,40,41,79,88,28
2019-08-19,Monday,17,28,57,66,67,71,78
2019-08-17,Saturday,8,13,31,37,39,46,54
2019-08-13,Tuesday,7,32,41,59,75,76,21
2019-08-10,Saturday,10,15,42,57,68,80,25
2019-08-08,Thursday,6,10,24,63,66,89,67
2019-08-06,Tuesday,20,22,27,43,46,72,28
2019-08-03,Saturday,6,16,21,27,33,66,1
2019-08-01,Thursday,20,30,37,52,82,83,18
2019-07-30,Tuesday,6,8,16,42,84,87,62
2019-07-27,Saturday,13,33,40,61,78,80,66
2019-07-25,Thursday,7,20,28,36,55,69,4
2019-07-23,Tuesday,18,32,34,55,74,79,78
